Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
4-9-10-12-19-21,173,63.041668,173,78.375000,0,-15.333332
4-9-10-12-20-21,173,69.500000,173,88.291664,0,-18.791664
4-9-10-13-14-15,238,44.875000,238,47.916668,0,-3.041668
4-9-10-13-14-16,229,61.750000,229,72.208336,0,-10.458336
4-9-10-13-14-17,238,72.166664,238,87.958336,0,-15.791672
4-9-10-13-14-18,229,52.583332,229,68.583336,0,-16.000004
4-9-10-13-14-19,229,53.958332,229,70.041664,0,-16.083332
4-9-10-13-14-20,229,62.000000,229,78.166664,0,-16.166664
4-9-10-13-14-21,229,59.416668,229,75.416664,0,-15.999996
4-9-10-13-15-16,229,62.500000,229,72.958336,0,-10.458336
4-9-10-13-15-17,238,73.541664,238,90.416664,0,-16.875000
4-9-10-13-15-18,229,53.625000,229,70.666664,0,-17.041664
4-9-10-13-15-19,229,55.083332,229,72.250000,0,-17.166668
4-9-10-13-15-20,229,62.875000,229,79.750000,0,-16.875000
4-9-10-13-15-21,229,60.291668,229,77.125000,0,-16.833332
4-9-10-13-16-17,229,87.625000,229,105.083336,0,-17.458336
4-9-10-13-16-18,173,68.000000,173,78.666664,0,-10.666664
4-9-10-13-16-19,173,70.208336,173,81.041664,0,-10.833328
4-9-10-13-16-20,218,78.833336,173,89.541664,45,-10.708328
4-9-10-13-16-21,215,76.250000,173,86.750000,42,-10.500000
4-9-10-13-17-18,229,72.458336,229,85.333336,0,-12.875000
4-9-10-13-17-19,229,74.916664,229,88.375000,0,-13.458336
4-9-10-13-17-20,229,89.083336,229,106.041664,0,-16.958328
4-9-10-13-17-21,229,86.000000,229,102.875000,0,-16.875000
4-9-10-13-18-19,173,51.458332,173,62.708332,0,-11.250000
4-9-10-13-18-20,173,61.208332,173,72.958336,0,-11.750004
4-9-10-13-18-21,173,59.666668,173,70.916664,0,-11.249996
4-9-10-13-19-20,173,61.916668,173,74.833336,0,-12.916668
4-9-10-13-19-21,173,59.833332,173,72.250000,0,-12.416668
4-9-10-13-20-21,173,67.208336,173,84.458336,0,-17.250000
4-9-10-14-15-16,238,61.500000,238,72.333336,0,-10.833336
4-9-10-14-15-17,239,73.375000,239,90.958336,0,-17.583336
4-9-10-14-15-18,238,53.541668,238,71.291664,0,-17.749996
4-9-10-14-15-19,238,54.750000,238,72.791664,0,-18.041664
4-9-10-14-15-20,238,62.666668,238,80.541664,0,-17.874996
4-9-10-14-15-21,238,60.041668,238,78.250000,0,-18.208332
4-9-10-14-16-17,238,87.250000,238,105.083336,0,-17.833336
4-9-10-14-16-18,173,68.458336,173,78.750000,0,-10.291664
4-9-10-14-16-19,173,70.416664,173,80.875000,0,-10.458336
4-9-10-14-16-20,218,78.458336,173,88.333336,45,-9.875000
4-9-10-14-16-21,215,75.833336,173,85.625000,42,-9.791664
4-9-10-14-17-18,238,73.750000,238,87.583336,0,-13.833336
4-9-10-14-17-19,238,76.000000,238,90.625000,0,-14.625000
4-9-10-14-17-20,238,90.333336,238,108.333336,0,-18.000000
4-9-10-14-17-21,238,87.333336,238,105.083336,0,-17.750000
4-9-10-14-18-19,173,52.208332,173,65.000000,0,-12.791668
4-9-10-14-18-20,173,61.750000,173,74.666664,0,-12.916664
4-9-10-14-18-21,173,60.208332,173,73.000000,0,-12.791668
4-9-10-14-19-20,173,62.250000,173,76.333336,0,-14.083336
4-9-10-14-19-21,173,60.166668,173,74.125000,0,-13.958332
4-9-10-14-20-21,173,67.458336,173,85.625000,0,-18.166664
4-9-10-15-16-17,238,88.041664,238,105.875000,0,-17.833336
4-9-10-15-16-18,173,69.166664,173,79.416664,0,-10.250000
4-9-10-15-16-19,173,70.958336,173,81.125000,0,-10.166664
4-9-10-15-16-20,218,78.750000,173,88.083336,45,-9.333336
4-9-10-15-16-21,215,76.625000,173,86.458336,42,-9.833336
4-9-10-15-17-18,238,75.083336,238,89.333336,0,-14.250000
4-9-10-15-17-19,238,77.416664,238,92.916664,0,-15.500000
4-9-10-15-17-20,238,91.041664,238,109.125000,0,-18.083336
4-9-10-15-17-21,238,88.750000,238,107.083336,0,-18.333336
4-9-10-15-18-19,173,53.291668,173,67.041664,0,-13.749996
4-9-10-15-18-20,173,62.583332,173,76.333336,0,-13.750004
4-9-10-15-18-21,173,61.041668,173,74.791664,0,-13.749996
4-9-10-15-19-20,173,63.166668,173,77.708336,0,-14.541668
4-9-10-15-19-21,173,61.083332,173,75.625000,0,-14.541668
4-9-10-15-20-21,173,67.875000,173,86.250000,0,-18.375000
4-9-10-16-17-18,207,87.333336,207,102.208336,0,-14.875000
4-9-10-16-17-19,207,89.708336,207,104.708336,0,-15.000000
4-9-10-16-17-20,235,103.625000,207,115.708336,28,-12.083336
4-9-10-16-17-21,215,101.041664,207,113.750000,8,-12.708336
4-9-10-16-18-19,173,66.166664,173,79.666664,0,-13.500000
4-9-10-16-18-20,173,75.541664,173,88.625000,0,-13.083336
4-9-10-16-18-21,173,74.000000,173,87.083336,0,-13.083336
4-9-10-16-19-20,173,76.083336,162,89.291664,11,-13.208328
4-9-10-16-19-21,173,74.000000,162,87.208336,11,-13.208336
4-9-10-16-20-21,215,80.541664,161,93.666664,54,-13.125000
4-9-10-17-18-19,173,65.750000,173,74.958336,0,-9.208336
4-9-10-17-18-20,177,78.875000,177,92.125000,0,-13.250000
4-9-10-17-18-21,181,77.333336,181,90.416664,0,-13.083328
4-9-10-17-19-20,177,79.541664,177,92.791664,0,-13.250000
4-9-10-17-19-21,181,77.458336,181,90.541664,0,-13.083328
4-9-10-17-20-21,181,84.250000,181,97.500000,0,-13.250000
4-9-10-18-19-20,173,53.458332,173,62.208332,0,-8.750000
4-9-10-18-19-21,173,52.208332,173,61.000000,0,-8.791668
4-9-10-18-20-21,173,59.250000,173,72.041664,0,-12.791664
4-9-10-19-20-21,162,57.625000,162,70.208336,0,-12.583336
4-9-11-12-13-14,230,52.458332,230,56.666668,0,-4.208336
4-9-11-12-13-15,230,52.416668,230,56.958332,0,-4.541664
4-9-11-12-13-16,229,69.833336,229,81.666664,0,-11.833328
4-9-11-12-13-17,230,81.125000,230,98.375000,0,-17.250000
4-9-11-12-13-18,229,60.958332,229,77.625000,0,-16.666668
4-9-11-12-13-19,229,62.250000,229,79.375000,0,-17.125000
4-9-11-12-13-20,229,69.333336,229,86.458336,0,-17.125000
4-9-11-12-13-21,229,66.750000,229,83.875000,0,-17.125000
4-9-11-12-14-15,239,50.750000,239,54.166668,0,-3.416668
4-9-11-12-14-16,230,68.541664,230,80.291664,0,-11.750000
4-9-11-12-14-17,239,80.875000,239,98.958336,0,-18.083336
4-9-11-12-14-18,230,60.375000,230,78.541664,0,-18.166664
4-9-11-12-14-19,230,61.458332,230,80.000000,0,-18.541668
