Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
1-3-12-15-17-18,239,108.875000,239,127.041664,0,-18.166664
1-3-12-15-17-19,239,111.125000,239,129.583328,0,-18.458328
1-3-12-15-17-20,304,122.375000,304,143.125000,0,-20.750000
1-3-12-15-17-21,283,120.458336,283,140.958328,0,-20.499992
1-3-12-15-18-19,227,80.875000,227,98.708336,0,-17.833336
1-3-12-15-18-20,227,89.875000,227,109.333336,0,-19.458336
1-3-12-15-18-21,227,89.208336,227,108.916664,0,-19.708328
1-3-12-15-19-20,234,90.291664,234,110.041664,0,-19.750000
1-3-12-15-19-21,234,89.083336,234,109.083336,0,-20.000000
1-3-12-15-20-21,283,93.791664,283,117.291664,0,-23.500000
1-3-12-16-17-18,258,120.791664,258,140.041672,0,-19.250008
1-3-12-16-17-19,258,121.958336,258,141.708328,0,-19.749992
1-3-12-16-17-20,304,133.666672,304,153.958328,0,-20.291656
1-3-12-16-17-21,283,131.458328,283,152.166672,0,-20.708344
1-3-12-16-18-19,227,96.958336,227,111.041664,0,-14.083328
1-3-12-16-18-20,227,103.791664,227,119.083336,0,-15.291672
1-3-12-16-18-21,227,103.416664,227,118.916664,0,-15.500000
1-3-12-16-19-20,234,103.208336,234,118.916664,0,-15.708328
1-3-12-16-19-21,234,102.208336,234,118.208336,0,-16.000000
1-3-12-16-20-21,283,105.833336,283,124.000000,0,-18.166664
1-3-12-17-18-19,239,106.250000,239,124.708336,0,-18.458336
1-3-12-17-18-20,304,117.250000,304,138.000000,0,-20.750000
1-3-12-17-18-21,283,116.083336,283,136.583328,0,-20.499992
1-3-12-17-19-20,304,117.833336,304,138.583328,0,-20.749992
1-3-12-17-19-21,283,116.125000,283,136.625000,0,-20.500000
1-3-12-17-20-21,304,120.791664,304,142.166672,0,-21.375008
1-3-12-18-19-20,234,83.958336,234,98.000000,0,-14.041664
1-3-12-18-19-21,234,83.500000,234,97.458336,0,-13.958336
1-3-12-18-20-21,283,87.958336,283,104.041664,0,-16.083328
1-3-12-19-20-21,283,86.166664,283,101.708336,0,-15.541672
1-3-13-14-15-16,209,70.208336,209,82.458336,0,-12.250000
1-3-13-14-15-17,216,93.375000,216,107.958336,0,-14.583336
1-3-13-14-15-18,209,66.375000,209,78.750000,0,-12.375000
1-3-13-14-15-19,209,68.208336,209,81.375000,0,-13.166664
1-3-13-14-15-20,209,79.958336,209,96.083336,0,-16.125000
1-3-13-14-15-21,209,76.958336,209,93.250000,0,-16.291664
1-3-13-14-16-17,258,106.625000,258,122.125000,0,-15.500000
1-3-13-14-16-18,203,83.916664,203,98.291664,0,-14.375000
1-3-13-14-16-19,203,85.375000,203,98.791664,0,-13.416664
1-3-13-14-16-20,209,93.666664,203,108.750000,6,-15.083336
1-3-13-14-16-21,209,90.833336,203,105.666664,6,-14.833328
1-3-13-14-17-18,227,97.791664,227,113.916664,0,-16.125000
1-3-13-14-17-19,234,100.083336,234,116.208336,0,-16.125000
1-3-13-14-17-20,304,113.166664,304,130.958328,0,-17.791664
1-3-13-14-17-21,283,109.625000,283,127.166664,0,-17.541664
1-3-13-14-18-19,227,71.708336,227,88.750000,0,-17.041664
1-3-13-14-18-20,227,83.000000,227,101.791664,0,-18.791664
1-3-13-14-18-21,227,81.250000,227,99.833336,0,-18.583336
1-3-13-14-19-20,234,83.458336,234,102.541664,0,-19.083328
1-3-13-14-19-21,234,81.166664,234,100.041664,0,-18.875000
1-3-13-14-20-21,283,88.166664,283,110.416664,0,-22.250000
1-3-13-15-16-17,258,108.666664,258,124.458336,0,-15.791672
1-3-13-15-16-18,203,85.333336,203,99.833336,0,-14.500000
1-3-13-15-16-19,203,86.875000,203,100.583336,0,-13.708336
1-3-13-15-16-20,216,94.541664,203,109.125000,13,-14.583336
1-3-13-15-16-21,216,92.416664,203,107.250000,13,-14.833336
1-3-13-15-17-18,227,100.375000,227,117.291664,0,-16.916664
1-3-13-15-17-19,234,102.750000,234,119.666664,0,-16.916664
1-3-13-15-17-20,304,114.916664,304,133.291672,0,-18.375008
1-3-13-15-17-21,283,112.083336,283,130.708328,0,-18.624992
1-3-13-15-18-19,227,73.750000,227,90.958336,0,-17.208336
1-3-13-15-18-20,227,84.333336,227,103.125000,0,-18.791664
1-3-13-15-18-21,227,82.791664,227,101.375000,0,-18.583336
1-3-13-15-19-20,234,84.875000,234,103.958336,0,-19.083336
1-3-13-15-19-21,234,82.791664,234,101.666664,0,-18.875000
1-3-13-15-20-21,283,89.083336,283,111.333336,0,-22.250000
1-3-13-16-17-18,258,113.166664,258,130.916672,0,-17.750008
1-3-13-16-17-19,258,114.458336,258,132.708328,0,-18.249992
1-3-13-16-17-20,304,127.083336,304,145.875000,0,-18.791664
1-3-13-16-17-21,283,123.958336,283,144.208328,0,-20.249992
1-3-13-16-18-19,227,90.750000,227,104.583336,0,-13.833336
1-3-13-16-18-20,227,97.583336,227,113.500000,0,-15.916664
1-3-13-16-18-21,227,96.208336,227,111.916664,0,-15.708328
1-3-13-16-19-20,234,97.041664,234,113.458336,0,-16.416672
1-3-13-16-19-21,234,95.125000,234,111.333336,0,-16.208336
1-3-13-16-20-21,283,99.666664,283,117.250000,0,-17.583336
1-3-13-17-18-19,234,95.083336,234,110.583336,0,-15.500000
1-3-13-17-18-20,304,107.000000,304,123.833336,0,-16.833336
1-3-13-17-18-21,283,104.916664,283,121.666664,0,-16.750000
1-3-13-17-19-20,304,107.708336,304,124.541664,0,-16.833328
1-3-13-17-19-21,283,105.083336,283,121.833336,0,-16.750000
1-3-13-17-20-21,304,110.666664,304,128.750000,0,-18.083336
1-3-13-18-19-20,234,76.416664,234,89.500000,0,-13.083336
1-3-13-18-19-21,234,75.541664,234,88.375000,0,-12.833336
1-3-13-18-20-21,283,81.708336,283,96.791664,0,-15.083328
1-3-13-19-20-21,283,80.041664,283,95.041664,0,-15.000000
1-3-14-15-16-17,258,107.083336,258,122.875000,0,-15.791664
1-3-14-15-16-18,209,84.291664,209,99.041664,0,-14.750000
1-3-14-15-16-19,209,85.625000,209,99.541664,0,-13.916664
1-3-14-15-16-20,216,93.416664,209,108.458336,7,-15.041672
1-3-14-15-16-21,216,91.375000,209,106.458336,7,-15.083336
1-3-14-15-17-18,227,100.458336,227,117.375000,0,-16.916664
1-3-14-15-17-19,234,102.625000,234,119.541664,0,-16.916664
1-3-14-15-17-20,304,114.916664,304,133.500000,0,-18.583336
1-3-14-15-17-21,283,112.166664,283,130.791672,0,-18.625008
1-3-14-15-18-19,227,74.166664,227,91.875000,0,-17.708336
1-3-14-15-18-20,227,84.875000,227,103.833336,0,-18.958336
1-3-14-15-18-21,227,83.416664,227,102.541664,0,-19.125000
1-3-14-15-19-20,234,85.208336,234,104.458336,0,-19.250000
1-3-14-15-19-21,234,83.208336,234,102.625000,0,-19.416664
1-3-14-15-20-21,283,89.625000,283,112.333336,0,-22.708336
1-3-14-16-17-18,258,113.083336,258,131.083328,0,-17.999992
1-3-14-16-17-19,258,114.166664,258,132.666672,0,-18.500008
1-3-14-16-17-20,304,126.916664,304,145.958328,0,-19.041664
1-3-14-16-17-21,283,123.875000,283,144.375000,0,-20.500000
1-3-14-16-18-19,227,91.000000,227,104.625000,0,-13.625000
1-3-14-16-18-20,227,97.958336,227,113.958336,0,-16.000000
1-3-14-16-18-21,227,96.666664,227,112.416664,0,-15.750000
1-3-14-16-19-20,234,97.208336,234,113.708336,0,-16.500000
1-3-14-16-19-21,234,95.375000,234,111.625000,0,-16.250000
1-3-14-16-20-21,283,100.041664,283,118.000000,0,-17.958336
1-3-14-17-18-19,234,96.458336,234,112.583336,0,-16.125000
1-3-14-17-18-20,304,108.500000,304,126.291664,0,-17.791664
1-3-14-17-18-21,283,106.500000,283,124.041664,0,-17.541664
1-3-14-17-19-20,304,109.000000,304,126.791664,0,-17.791664
1-3-14-17-19-21,283,106.458336,283,124.000000,0,-17.541664
1-3-14-17-20-21,304,112.166664,304,131.375000,0,-19.208336
1-3-14-18-19-20,234,77.666664,234,91.333336,0,-13.666672
1-3-14-18-19-21,234,76.916664,234,90.333336,0,-13.416672
1-3-14-18-20-21,283,82.875000,283,98.333336,0,-15.458336
1-3-14-19-20-21,283,81.000000,283,96.208336,0,-15.208336
1-3-15-16-17-18,258,115.083336,258,133.375000,0,-18.291664
1-3-15-16-17-19,258,116.250000,258,135.041672,0,-18.791672
1-3-15-16-17-20,304,128.083328,304,147.416672,0,-19.333344
1-3-15-16-17-21,283,125.750000,283,146.458328,0,-20.708328
1-3-15-16-18-19,227,92.708336,227,106.583336,0,-13.875000
1-3-15-16-18-20,227,98.791664,227,114.291664,0,-15.500000
1-3-15-16-18-21,227,98.208336,227,113.958336,0,-15.750000
1-3-15-16-19-20,234,98.125000,234,114.125000,0,-16.000000
1-3-15-16-19-21,234,97.000000,234,113.250000,0,-16.250000
1-3-15-16-20-21,283,100.750000,283,118.500000,0,-17.750000
1-3-15-17-18-19,234,99.083336,234,116.000000,0,-16.916664
1-3-15-17-18-20,304,110.208336,304,128.583328,0,-18.374992
1-3-15-17-18-21,283,108.916664,283,127.541664,0,-18.625000
1-3-15-17-19-20,304,110.791664,304,129.166672,0,-18.375008
1-3-15-17-19-21,283,108.958336,283,127.583336,0,-18.625000
1-3-15-17-20-21,304,113.750000,304,133.833328,0,-20.083328
1-3-15-18-19-20,234,79.041664,234,93.250000,0,-14.208336
1-3-15-18-19-21,234,78.500000,234,92.458336,0,-13.958336
1-3-15-18-20-21,283,83.750000,283,99.500000,0,-15.750000
1-3-15-19-20-21,283,81.958336,283,97.416664,0,-15.458328
1-3-16-17-18-19,258,110.166664,258,126.083336,0,-15.916672
1-3-16-17-18-20,304,121.333336,304,140.166672,0,-18.833336
1-3-16-17-18-21,283,120.166664,283,139.583328,0,-19.416664
1-3-16-17-19-20,304,120.833336,304,138.583328,0,-17.749992
1-3-16-17-19-21,283,119.125000,283,137.916672,0,-18.791672
1-3-16-17-20-21,304,123.958336,304,146.416672,0,-22.458336
1-3-16-18-19-20,234,90.583336,234,105.666664,0,-15.083328
1-3-16-18-19-21,234,90.208336,234,105.291664,0,-15.083328
1-3-16-18-20-21,283,93.708336,283,108.833336,0,-15.125000
1-3-16-19-20-21,283,90.833336,283,105.500000,0,-14.666664
1-3-17-18-19-20,304,92.291664,304,105.333336,0,-13.041672
1-3-17-18-19-21,283,91.208336,283,104.416664,0,-13.208328
1-3-17-18-20-21,304,95.750000,304,108.958336,0,-13.208336
1-3-17-19-20-21,304,94.125000,304,106.791664,0,-12.666664
1-3-18-19-20-21,283,68.875000,283,79.708336,0,-10.833336
1-4-5-6-7-8,369,85.125000,369,100.125000,0,-15.000000
1-4-5-6-7-9,228,87.083336,228,105.458336,0,-18.375000
1-4-5-6-7-10,206,80.958336,206,98.833336,0,-17.875000
1-4-5-6-7-11,206,84.208336,206,102.125000,0,-17.916664
1-4-5-6-7-12,206,82.250000,206,99.958336,0,-17.708336
1-4-5-6-7-13,206,80.208336,206,98.041664,0,-17.833328
1-4-5-6-7-14,206,78.416664,206,96.125000,0,-17.708336
1-4-5-6-7-15,206,78.375000,206,96.083336,0,-17.708336
1-4-5-6-7-16,206,70.041664,206,87.750000,0,-17.708336
1-4-5-6-7-17,338,105.625000,338,124.375000,0,-18.750000
1-4-5-6-7-18,227,87.291664,227,105.333336,0,-18.041672
1-4-5-6-7-19,234,86.875000,234,107.083336,0,-20.208336
1-4-5-6-7-20,304,87.000000,304,104.125000,0,-17.125000
1-4-5-6-7-21,283,85.666664,283,102.541664,0,-16.875000
1-4-5-6-8-9,369,110.875000,369,128.958328,0,-18.083328
1-4-5-6-8-10,369,107.875000,369,124.208336,0,-16.333336
1-4-5-6-8-11,369,111.000000,369,128.208328,0,-17.208328
1-4-5-6-8-12,369,109.166664,369,125.291664,0,-16.125000
