Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
2-4-9-12-14-18,195,67.833336,195,81.791664,0,-13.958328
2-4-9-12-14-19,195,69.250000,195,84.333336,0,-15.083336
2-4-9-12-14-20,195,79.875000,195,101.250000,0,-21.375000
2-4-9-12-14-21,195,76.625000,195,98.166664,0,-21.541664
2-4-9-12-15-16,195,75.041664,193,90.583336,2,-15.541672
2-4-9-12-15-17,230,98.333336,230,122.791664,0,-24.458328
2-4-9-12-15-18,195,68.333336,193,82.916664,2,-14.583328
2-4-9-12-15-19,195,69.833336,193,85.541664,2,-15.708328
2-4-9-12-15-20,195,79.541664,193,100.500000,2,-20.958336
2-4-9-12-15-21,195,77.000000,193,99.166664,2,-22.166664
2-4-9-12-16-17,273,103.666664,273,129.666672,0,-26.000008
2-4-9-12-16-18,193,80.958336,193,103.125000,0,-22.166664
2-4-9-12-16-19,182,82.375000,182,103.458336,0,-21.083336
2-4-9-12-16-20,196,92.625000,161,107.750000,35,-15.125000
2-4-9-12-16-21,196,89.666664,161,105.500000,35,-15.833336
2-4-9-12-17-18,217,90.125000,217,108.666664,0,-18.541664
2-4-9-12-17-19,217,91.791664,217,110.583336,0,-18.791672
2-4-9-12-17-20,217,100.458336,217,118.375000,0,-17.916664
2-4-9-12-17-21,217,97.958336,217,115.875000,0,-17.916664
2-4-9-12-18-19,193,64.375000,193,80.416664,0,-16.041664
2-4-9-12-18-20,193,73.833336,193,91.333336,0,-17.500000
2-4-9-12-18-21,193,72.041664,193,90.125000,0,-18.083336
2-4-9-12-19-20,182,73.666664,182,90.958336,0,-17.291672
2-4-9-12-19-21,182,71.333336,182,89.375000,0,-18.041664
2-4-9-12-20-21,159,74.458336,159,91.416664,0,-16.958328
2-4-9-13-14-15,239,60.333332,229,73.916664,10,-13.583332
2-4-9-13-14-16,195,72.208336,195,88.250000,0,-16.041664
2-4-9-13-14-17,239,91.833336,229,115.250000,10,-23.416664
2-4-9-13-14-18,195,61.291668,195,72.625000,0,-11.333332
2-4-9-13-14-19,195,62.833332,195,75.250000,0,-12.416668
2-4-9-13-14-20,195,74.833336,195,95.041664,0,-20.208328
2-4-9-13-14-21,195,71.208336,195,90.958336,0,-19.750000
2-4-9-13-15-16,195,73.458336,193,89.291664,2,-15.833328
2-4-9-13-15-17,243,93.583336,229,117.041664,14,-23.458328
2-4-9-13-15-18,195,63.083332,193,74.833336,2,-11.750004
2-4-9-13-15-19,195,64.708336,193,77.500000,2,-12.791664
2-4-9-13-15-20,195,76.000000,193,95.583336,2,-19.583336
2-4-9-13-15-21,195,72.583336,193,92.166664,2,-19.583328
2-4-9-13-16-17,273,99.625000,273,125.625000,0,-26.000000
2-4-9-13-16-18,193,76.583336,193,99.958336,0,-23.375000
2-4-9-13-16-19,182,78.125000,182,99.041664,0,-20.916664
2-4-9-13-16-20,218,90.208336,161,102.541664,57,-12.333328
2-4-9-13-16-21,215,86.708336,161,99.125000,54,-12.416664
2-4-9-13-17-18,195,82.416664,195,101.333336,0,-18.916672
2-4-9-13-17-19,195,84.208336,195,103.083336,0,-18.875000
2-4-9-13-17-20,195,93.916664,195,110.750000,0,-16.833336
2-4-9-13-17-21,195,90.833336,195,107.916664,0,-17.083328
2-4-9-13-18-19,193,56.458332,193,67.083336,0,-10.625004
2-4-9-13-18-20,193,67.625000,193,82.500000,0,-14.875000
2-4-9-13-18-21,193,65.416664,193,79.458336,0,-14.041672
2-4-9-13-19-20,182,67.583336,182,82.541664,0,-14.958328
2-4-9-13-19-21,182,64.833336,182,79.125000,0,-14.291664
2-4-9-13-20-21,155,69.666664,155,85.625000,0,-15.958336
2-4-9-14-15-16,195,72.375000,193,87.458336,2,-15.083336
2-4-9-14-15-17,239,94.291664,239,118.583336,0,-24.291672
