Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
1-8-9-11-12-16,262,99.208336,262,117.750000,0,-18.541664
1-8-9-11-12-17,295,121.375000,295,139.625000,0,-18.250000
1-8-9-11-12-18,262,92.250000,262,110.916664,0,-18.666664
1-8-9-11-12-19,262,94.208336,262,113.625000,0,-19.416664
1-8-9-11-12-20,262,103.875000,262,124.833336,0,-20.958336
1-8-9-11-12-21,262,102.500000,262,123.250000,0,-20.750000
1-8-9-11-13-14,265,79.958336,265,96.250000,0,-16.291664
1-8-9-11-13-15,279,81.916664,279,98.916664,0,-17.000000
1-8-9-11-13-16,257,97.083336,257,116.458336,0,-19.375000
1-8-9-11-13-17,295,115.291664,295,133.541672,0,-18.250008
1-8-9-11-13-18,257,86.458336,257,103.166664,0,-16.708328
1-8-9-11-13-19,257,88.541664,257,105.916664,0,-17.375000
1-8-9-11-13-20,257,99.125000,257,119.083336,0,-19.958336
1-8-9-11-13-21,257,96.833336,257,116.708336,0,-19.875000
1-8-9-11-14-15,279,80.833336,279,97.833336,0,-17.000000
1-8-9-11-14-16,265,95.833336,265,114.791664,0,-18.958328
1-8-9-11-14-17,295,115.166664,295,133.416672,0,-18.250008
1-8-9-11-14-18,265,86.875000,265,104.458336,0,-17.583336
1-8-9-11-14-19,265,88.750000,265,107.000000,0,-18.250000
1-8-9-11-14-20,265,99.458336,265,120.083336,0,-20.625000
1-8-9-11-14-21,265,97.250000,265,117.458336,0,-20.208336
1-8-9-11-15-16,279,97.208336,279,116.458336,0,-19.250000
1-8-9-11-15-17,295,117.416664,295,135.666672,0,-18.250008
1-8-9-11-15-18,279,88.791664,279,106.791664,0,-18.000000
1-8-9-11-15-19,279,90.750000,279,109.416664,0,-18.666664
1-8-9-11-15-20,279,100.541664,279,121.541664,0,-21.000000
1-8-9-11-15-21,279,99.041664,279,119.833336,0,-20.791672
1-8-9-11-16-17,295,129.166672,295,150.958328,0,-21.791656
1-8-9-11-16-18,227,103.875000,227,121.583336,0,-17.708336
1-8-9-11-16-19,228,105.500000,228,123.250000,0,-17.750000
1-8-9-11-16-20,228,113.125000,228,130.791672,0,-17.666672
1-8-9-11-16-21,228,111.916664,228,128.541672,0,-16.625008
1-8-9-11-17-18,295,112.583336,295,130.833328,0,-18.249992
1-8-9-11-17-19,295,114.958336,295,133.458328,0,-18.499992
1-8-9-11-17-20,304,127.500000,304,148.875000,0,-21.375000
1-8-9-11-17-21,295,125.125000,295,145.666672,0,-20.541672
1-8-9-11-18-19,228,84.708336,228,99.583336,0,-14.875000
1-8-9-11-18-20,228,94.250000,228,111.458336,0,-17.208336
1-8-9-11-18-21,228,93.500000,228,110.375000,0,-16.875000
1-8-9-11-19-20,234,94.791664,234,112.250000,0,-17.458336
1-8-9-11-19-21,234,93.500000,234,110.625000,0,-17.125000
1-8-9-11-20-21,283,98.750000,283,118.250000,0,-19.500000
1-8-9-12-13-14,262,78.625000,262,94.458336,0,-15.833336
1-8-9-12-13-15,262,79.458336,262,95.458336,0,-16.000000
1-8-9-12-13-16,257,94.458336,257,113.791664,0,-19.333328
1-8-9-12-13-17,262,113.500000,262,131.708328,0,-18.208328
1-8-9-12-13-18,257,84.833336,257,101.208336,0,-16.375000
1-8-9-12-13-19,257,86.958336,257,104.000000,0,-17.041664
