Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
6-8-9-16-17-21,273,110.750000,273,130.500000,0,-19.750000
6-8-9-16-18-19,194,78.208336,187,100.083336,7,-21.875000
6-8-9-16-18-20,198,87.375000,185,104.416664,13,-17.041664
6-8-9-16-18-21,198,86.958336,185,104.000000,13,-17.041664
6-8-9-16-19-20,198,87.958336,187,105.583336,11,-17.625000
6-8-9-16-19-21,198,87.000000,187,104.625000,11,-17.625000
6-8-9-16-20-21,198,86.625000,193,103.958336,5,-17.333336
6-8-9-17-18-19,198,80.791664,198,95.333336,0,-14.541672
6-8-9-17-18-20,198,91.083336,198,106.291664,0,-15.208328
6-8-9-17-18-21,198,90.458336,198,106.208336,0,-15.750000
6-8-9-17-19-20,198,91.916664,194,106.958336,4,-15.041672
6-8-9-17-19-21,198,90.750000,194,106.333336,4,-15.583336
6-8-9-17-20-21,219,94.708336,219,109.375000,0,-14.666664
6-8-9-18-19-20,198,65.458336,187,75.000000,11,-9.541664
6-8-9-18-19-21,198,64.458336,187,73.541664,11,-9.083328
6-8-9-18-20-21,198,69.958336,187,78.125000,11,-8.166664
6-8-9-19-20-21,198,68.500000,194,76.083336,4,-7.583336
6-8-10-11-12-13,262,57.208332,262,61.125000,0,-3.916668
6-8-10-11-12-14,265,54.708332,265,57.916668,0,-3.208336
6-8-10-11-12-15,279,53.708332,279,57.500000,0,-3.791668
6-8-10-11-12-16,262,61.916668,262,81.250000,0,-19.333332
6-8-10-11-12-17,287,93.083336,287,113.625000,0,-20.541664
6-8-10-11-12-18,262,74.166664,262,89.791664,0,-15.625000
6-8-10-11-12-19,262,76.333336,262,92.541664,0,-16.208328
6-8-10-11-12-20,262,82.166664,262,100.958336,0,-18.791672
6-8-10-11-12-21,262,81.750000,262,100.666664,0,-18.916664
6-8-10-11-13-14,265,55.958332,265,60.625000,0,-4.666668
6-8-10-11-13-15,279,56.250000,279,61.083332,0,-4.833332
6-8-10-11-13-16,257,65.333336,257,83.583336,0,-18.250000
6-8-10-11-13-17,287,94.166664,287,114.708336,0,-20.541672
6-8-10-11-13-18,257,73.916664,257,87.458336,0,-13.541672
6-8-10-11-13-19,257,76.208336,257,91.083336,0,-14.875000
6-8-10-11-13-20,257,84.083336,257,102.083336,0,-18.000000
6-8-10-11-13-21,257,83.166664,257,101.208336,0,-18.041672
6-8-10-11-14-15,279,53.666668,279,57.541668,0,-3.875000
6-8-10-11-14-16,265,62.583332,265,81.625000,0,-19.041668
6-8-10-11-14-17,287,92.291664,287,112.833336,0,-20.541672
6-8-10-11-14-18,265,72.833336,265,87.625000,0,-14.791664
6-8-10-11-14-19,265,74.916664,265,91.000000,0,-16.083336
6-8-10-11-14-20,265,82.166664,265,100.833336,0,-18.666672
6-8-10-11-14-21,265,81.208336,265,99.916664,0,-18.708328
6-8-10-11-15-16,279,62.291668,279,81.500000,0,-19.208332
6-8-10-11-15-17,287,92.291664,287,112.833336,0,-20.541672
6-8-10-11-15-18,279,73.083336,279,88.750000,0,-15.666664
6-8-10-11-15-19,279,75.250000,279,92.333336,0,-17.083336
6-8-10-11-15-20,279,81.458336,279,101.291664,0,-19.833328
6-8-10-11-15-21,279,81.000000,279,100.875000,0,-19.875000
6-8-10-11-16-17,287,98.083336,287,121.166664,0,-23.083328
6-8-10-11-16-18,198,81.750000,198,92.625000,0,-10.875000
6-8-10-11-16-19,194,83.625000,187,93.875000,7,-10.250000
6-8-10-11-16-20,232,87.291664,177,99.916664,55,-12.625000
6-8-10-11-16-21,219,86.958336,177,98.375000,42,-11.416664
6-8-10-11-17-18,287,103.000000,287,120.916664,0,-17.916664
6-8-10-11-17-19,287,105.333336,287,123.041664,0,-17.708328
6-8-10-11-17-20,287,115.791664,287,134.333328,0,-18.541664
6-8-10-11-17-21,287,115.333336,287,133.083328,0,-17.749992
6-8-10-11-18-19,198,82.333336,198,95.041664,0,-12.708328
6-8-10-11-18-20,228,92.250000,198,101.875000,30,-9.625000
6-8-10-11-18-21,219,92.708336,198,102.041664,21,-9.333328
6-8-10-11-19-20,228,92.750000,187,101.083336,41,-8.333336
6-8-10-11-19-21,219,92.666664,187,100.708336,32,-8.041672
6-8-10-11-20-21,228,95.875000,167,102.375000,61,-6.500000
6-8-10-12-13-14,262,53.375000,262,57.916668,0,-4.541668
6-8-10-12-13-15,262,52.541668,262,56.500000,0,-3.958332
6-8-10-12-13-16,257,62.041668,257,79.625000,0,-17.583332
6-8-10-12-13-17,262,89.125000,262,107.750000,0,-18.625000
6-8-10-12-13-18,257,71.041664,257,84.208336,0,-13.166672
6-8-10-12-13-19,257,73.375000,257,87.041664,0,-13.666664
6-8-10-12-13-20,257,80.125000,257,97.291664,0,-17.166664
6-8-10-12-13-21,257,79.208336,257,96.416664,0,-17.208328
6-8-10-12-14-15,265,50.250000,265,53.750000,0,-3.500000
6-8-10-12-14-16,262,59.750000,262,78.000000,0,-18.250000
6-8-10-12-14-17,265,87.541664,265,106.291664,0,-18.750000
6-8-10-12-14-18,262,70.125000,262,83.958336,0,-13.833336
6-8-10-12-14-19,262,72.250000,262,86.333336,0,-14.083336
6-8-10-12-14-20,262,78.500000,262,95.958336,0,-17.458336
6-8-10-12-14-21,262,77.541664,262,95.041664,0,-17.500000
6-8-10-12-15-16,262,58.333332,262,77.000000,0,-18.666668
6-8-10-12-15-17,279,87.000000,279,106.333336,0,-19.333336
6-8-10-12-15-18,262,69.250000,262,83.083336,0,-13.833336
6-8-10-12-15-19,262,71.458336,262,85.541664,0,-14.083328
6-8-10-12-15-20,262,77.208336,262,94.125000,0,-16.916664
6-8-10-12-15-21,262,76.750000,262,93.708336,0,-16.958336
6-8-10-12-16-17,273,91.916664,273,113.958336,0,-22.041672
6-8-10-12-16-18,198,75.875000,198,87.791664,0,-11.916664
6-8-10-12-16-19,194,77.791664,187,89.083336,7,-11.291672
6-8-10-12-16-20,232,82.208336,177,92.583336,55,-10.375000
6-8-10-12-16-21,219,81.875000,177,92.166664,42,-10.291664
6-8-10-12-17-18,262,97.833336,262,116.083336,0,-18.250000
6-8-10-12-17-19,262,100.208336,262,118.083336,0,-17.875000
6-8-10-12-17-20,262,111.166664,262,127.416664,0,-16.250000
6-8-10-12-17-21,262,111.041664,262,127.041664,0,-16.000000
6-8-10-12-18-19,198,79.375000,198,91.250000,0,-11.875000
6-8-10-12-18-20,228,87.500000,198,97.791664,30,-10.291664
6-8-10-12-18-21,219,88.041664,198,97.958336,21,-9.916672
6-8-10-12-19-20,228,88.041664,187,97.041664,41,-9.000000
6-8-10-12-19-21,219,88.041664,187,96.666664,32,-8.625000
6-8-10-12-20-21,228,92.000000,157,99.375000,71,-7.375000
6-8-10-13-14-15,265,50.458332,265,53.208332,0,-2.750000
6-8-10-13-14-16,257,60.666668,257,78.958336,0,-18.291668
6-8-10-13-14-17,265,86.291664,265,104.625000,0,-18.333336
6-8-10-13-14-18,257,67.541664,257,79.083336,0,-11.541672
6-8-10-13-14-19,257,69.791664,257,82.666664,0,-12.875000
6-8-10-13-14-20,257,78.416664,257,95.416664,0,-17.000000
6-8-10-13-14-21,257,77.166664,257,93.958336,0,-16.791672
6-8-10-13-15-16,257,60.708332,257,78.500000,0,-17.791668
6-8-10-13-15-17,279,87.041664,279,105.958336,0,-18.916672
6-8-10-13-15-18,257,67.958336,257,79.916664,0,-11.958328
6-8-10-13-15-19,257,70.291664,257,83.583336,0,-13.291672
6-8-10-13-15-20,257,78.083336,257,94.666664,0,-16.583328
6-8-10-13-15-21,257,77.125000,257,93.916664,0,-16.791664
6-8-10-13-16-17,273,92.833336,273,114.666664,0,-21.833328
6-8-10-13-16-18,198,75.458336,198,88.666664,0,-13.208328
6-8-10-13-16-19,194,77.500000,187,89.750000,7,-12.250000
6-8-10-13-16-20,232,84.958336,177,93.791664,55,-8.833328
6-8-10-13-16-21,219,84.000000,177,92.708336,42,-8.708336
6-8-10-13-17-18,257,95.083336,257,112.708336,0,-17.625000
6-8-10-13-17-19,257,97.583336,257,114.833336,0,-17.250000
6-8-10-13-17-20,257,109.458336,257,124.708336,0,-15.250000
6-8-10-13-17-21,257,108.416664,257,123.333336,0,-14.916672
6-8-10-13-18-19,198,75.458336,198,85.958336,0,-10.500000
6-8-10-13-18-20,228,85.583336,198,96.041664,30,-10.458328
6-8-10-13-18-21,219,85.625000,198,96.000000,21,-10.375000
6-8-10-13-19-20,228,86.250000,187,95.416664,41,-9.166664
6-8-10-13-19-21,219,85.750000,187,94.833336,32,-9.083336
6-8-10-13-20-21,228,90.208336,150,96.458336,78,-6.250000
6-8-10-14-15-16,265,58.166668,265,76.833336,0,-18.666668
6-8-10-14-15-17,279,85.375000,279,104.291664,0,-18.916664
6-8-10-14-15-18,265,67.083336,265,80.208336,0,-13.125000
6-8-10-14-15-19,265,69.208336,265,83.166664,0,-13.958328
6-8-10-14-15-20,265,76.375000,265,93.833336,0,-17.458336
6-8-10-14-15-21,265,75.375000,265,92.833336,0,-17.458336
6-8-10-14-16-17,273,91.000000,273,113.166664,0,-22.166664
6-8-10-14-16-18,198,74.416664,198,86.458336,0,-12.041672
6-8-10-14-16-19,194,76.250000,187,87.416664,7,-11.166664
6-8-10-14-16-20,232,82.416664,177,91.583336,55,-9.166672
6-8-10-14-16-21,219,81.750000,177,90.458336,42,-8.708336
6-8-10-14-17-18,265,94.916664,265,112.875000,0,-17.958336
6-8-10-14-17-19,265,97.208336,265,114.791664,0,-17.583328
6-8-10-14-17-20,265,109.208336,265,124.791664,0,-15.583328
6-8-10-14-17-21,265,108.250000,265,123.500000,0,-15.250000
6-8-10-14-18-19,198,75.708336,198,86.375000,0,-10.666664
6-8-10-14-18-20,228,85.375000,198,95.833336,30,-10.458336
6-8-10-14-18-21,219,85.375000,198,95.416664,21,-10.041664
6-8-10-14-19-20,228,85.833336,187,95.000000,41,-9.166664
6-8-10-14-19-21,219,85.291664,187,94.041664,32,-8.750000
6-8-10-14-20-21,228,90.000000,150,97.125000,78,-7.125000
6-8-10-15-16-17,279,91.166664,279,113.916664,0,-22.750000
6-8-10-15-16-18,198,74.833336,198,86.041664,0,-11.208328
6-8-10-15-16-19,194,76.750000,187,87.333336,7,-10.583336
6-8-10-15-16-20,232,81.500000,177,90.458336,55,-8.958336
6-8-10-15-16-21,219,81.125000,177,89.833336,42,-8.708336
6-8-10-15-17-18,279,95.625000,279,113.833336,0,-18.208336
6-8-10-15-17-19,279,98.000000,279,115.916664,0,-17.916664
6-8-10-15-17-20,279,109.083336,279,125.250000,0,-16.166664
6-8-10-15-17-21,279,108.833336,279,124.666664,0,-15.833328
6-8-10-15-18-19,198,76.166664,198,86.958336,0,-10.791672
6-8-10-15-18-20,228,85.375000,198,95.041664,30,-9.666664
6-8-10-15-18-21,219,85.875000,198,95.333336,21,-9.458336
6-8-10-15-19-20,228,85.916664,187,94.291664,41,-8.375000
6-8-10-15-19-21,219,85.875000,187,94.041664,32,-8.166664
6-8-10-15-20-21,228,89.875000,150,96.541664,78,-6.666664
6-8-10-16-17-18,273,101.333336,273,121.000000,0,-19.666664
6-8-10-16-17-19,273,103.625000,273,122.333336,0,-18.708336
6-8-10-16-17-20,273,115.375000,273,127.625000,0,-12.250000
6-8-10-16-17-21,273,114.583336,273,128.000000,0,-13.416664
6-8-10-16-18-19,194,83.291664,187,101.375000,7,-18.083336
6-8-10-16-18-20,218,91.125000,177,103.833336,41,-12.708336
6-8-10-16-18-21,218,91.666664,177,103.583336,41,-11.916672
6-8-10-16-19-20,218,91.583336,177,104.833336,41,-13.250000
6-8-10-16-19-21,218,91.666664,177,104.416664,41,-12.750000
6-8-10-16-20-21,219,94.416664,193,103.291664,26,-8.875000
6-8-10-17-18-19,207,95.458336,207,111.708336,0,-16.250000
6-8-10-17-18-20,228,106.291664,207,120.375000,21,-14.083336
6-8-10-17-18-21,219,106.791664,207,120.666664,12,-13.875000
6-8-10-17-19-20,228,107.000000,207,121.166664,21,-14.166664
6-8-10-17-19-21,219,106.958336,207,120.791664,12,-13.833328
6-8-10-17-20-21,228,111.458336,219,123.791664,9,-12.333328
6-8-10-18-19-20,198,81.125000,187,93.916664,11,-12.791664
6-8-10-18-19-21,198,81.666664,187,94.458336,11,-12.791672
6-8-10-18-20-21,219,85.583336,185,96.791664,34,-11.208328
6-8-10-19-20-21,219,83.916664,194,96.333336,25,-12.416672
6-8-11-12-13-14,262,57.958332,262,63.375000,0,-5.416668
6-8-11-12-13-15,262,57.333332,262,62.375000,0,-5.041668
6-8-11-12-13-16,257,66.500000,257,84.666664,0,-18.166664
6-8-11-12-13-17,262,94.416664,262,113.916664,0,-19.500000
6-8-11-12-13-18,257,75.875000,257,89.291664,0,-13.416664
6-8-11-12-13-19,257,78.208336,257,93.166664,0,-14.958328
6-8-11-12-13-20,257,84.958336,257,103.708336,0,-18.750000
6-8-11-12-13-21,257,84.041664,257,103.000000,0,-18.958336
6-8-11-12-14-15,265,54.875000,265,59.250000,0,-4.375000
6-8-11-12-14-16,262,63.750000,262,82.708336,0,-18.958336
6-8-11-12-14-17,265,92.666664,265,112.291664,0,-19.625000
6-8-11-12-14-18,262,74.791664,262,89.333336,0,-14.541672
6-8-11-12-14-19,262,76.916664,262,92.958336,0,-16.041672
6-8-11-12-14-20,262,83.166664,262,102.208336,0,-19.041672
6-8-11-12-14-21,262,82.208336,262,101.458336,0,-19.250000
6-8-11-12-15-16,262,62.541668,262,81.791664,0,-19.249996
6-8-11-12-15-17,279,92.333336,279,112.541664,0,-20.208328
6-8-11-12-15-18,262,74.125000,262,88.958336,0,-14.833336
6-8-11-12-15-19,262,76.333336,262,92.541664,0,-16.208328
6-8-11-12-15-20,262,82.083336,262,100.583336,0,-18.500000
6-8-11-12-15-21,262,81.625000,262,100.333336,0,-18.708336
6-8-11-12-16-17,273,97.500000,273,119.541664,0,-22.041664
6-8-11-12-16-18,198,81.833336,198,93.750000,0,-11.916664
6-8-11-12-16-19,194,83.750000,187,95.041664,7,-11.291664
6-8-11-12-16-20,232,87.333336,177,100.333336,55,-13.000000
6-8-11-12-16-21,219,87.000000,177,98.875000,42,-11.875000
6-8-11-12-17-18,262,103.208336,262,120.458336,0,-17.250000
6-8-11-12-17-19,262,105.583336,262,122.625000,0,-17.041664
6-8-11-12-17-20,262,115.958336,262,134.041672,0,-18.083336
6-8-11-12-17-21,262,115.666664,262,132.916672,0,-17.250008
6-8-11-12-18-19,198,84.291664,198,97.000000,0,-12.708336
6-8-11-12-18-20,228,92.416664,198,103.458336,30,-11.041672
6-8-11-12-18-21,219,92.958336,198,103.791664,21,-10.833328
6-8-11-12-19-20,228,92.958336,187,102.708336,41,-9.750000
6-8-11-12-19-21,219,92.958336,187,102.500000,32,-9.541664
6-8-11-12-20-21,228,96.166664,167,105.291664,61,-9.125000
6-8-11-13-14-15,265,55.000000,265,60.791668,0,-5.791668
6-8-11-13-14-16,257,64.750000,257,83.791664,0,-19.041664
6-8-11-13-14-17,265,91.333336,265,110.958336,0,-19.625000
6-8-11-13-14-18,257,72.125000,257,84.583336,0,-12.458336
6-8-11-13-14-19,257,74.375000,257,88.166664,0,-13.791664
6-8-11-13-14-20,257,83.000000,257,100.833336,0,-17.833336
6-8-11-13-14-21,257,81.750000,257,99.375000,0,-17.625000
