Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
2-15-16-19-20-21,192,76.375000,167,90.208336,25,-13.833336
2-15-17-18-19-20,193,78.041664,193,91.083336,0,-13.041672
2-15-17-18-19-21,193,78.083336,193,91.125000,0,-13.041664
2-15-17-18-20-21,193,84.666664,193,97.875000,0,-13.208336
2-15-17-19-20-21,182,83.083336,182,96.291664,0,-13.208328
2-15-18-19-20-21,182,56.958332,182,68.750000,0,-11.791668
2-16-17-18-19-20,193,85.541664,182,100.208336,11,-14.666672
2-16-17-18-19-21,193,85.625000,182,100.291664,11,-14.666664
2-16-17-18-20-21,215,90.916664,215,106.625000,0,-15.708336
2-16-17-19-20-21,215,89.375000,215,105.541664,0,-16.166664
2-16-18-19-20-21,193,62.833332,167,69.041664,26,-6.208332
2-17-18-19-20-21,182,61.333332,182,73.708336,0,-12.375004
3-4-5-6-7-8,123,49.958332,123,60.416668,0,-10.458336
3-4-5-6-7-9,172,55.916668,172,67.041664,0,-11.124996
3-4-5-6-7-10,240,58.791668,240,71.291664,0,-12.499996
3-4-5-6-7-11,239,60.875000,239,73.166664,0,-12.291664
3-4-5-6-7-12,228,57.333332,228,69.666664,0,-12.333332
3-4-5-6-7-13,201,57.250000,201,69.375000,0,-12.125000
3-4-5-6-7-14,209,56.375000,209,68.250000,0,-11.875000
3-4-5-6-7-15,215,55.958332,215,67.833336,0,-11.875004
3-4-5-6-7-16,149,44.333332,149,56.666668,0,-12.333336
3-4-5-6-7-17,286,70.083336,286,81.208336,0,-11.125000
3-4-5-6-7-18,174,56.250000,174,67.375000,0,-11.125000
3-4-5-6-7-19,160,54.500000,160,65.625000,0,-11.125000
3-4-5-6-7-20,135,51.125000,135,62.166668,0,-11.041668
3-4-5-6-7-21,126,49.958332,126,60.666668,0,-10.708336
3-4-5-6-8-9,172,72.375000,172,83.666664,0,-11.291664
3-4-5-6-8-10,242,77.750000,242,93.750000,0,-16.000000
3-4-5-6-8-11,244,78.916664,244,94.541664,0,-15.625000
3-4-5-6-8-12,235,76.291664,235,92.375000,0,-16.083336
3-4-5-6-8-13,207,74.916664,207,89.166664,0,-14.250000
3-4-5-6-8-14,215,74.875000,215,89.750000,0,-14.875000
3-4-5-6-8-15,221,74.916664,221,90.250000,0,-15.333336
3-4-5-6-8-16,153,63.166668,153,79.041664,0,-15.874996
3-4-5-6-8-17,286,86.541664,286,97.833336,0,-11.291672
3-4-5-6-8-18,174,72.708336,174,84.000000,0,-11.291664
3-4-5-6-8-19,160,70.958336,160,82.250000,0,-11.291664
3-4-5-6-8-20,138,66.833336,138,77.541664,0,-10.708328
3-4-5-6-8-21,140,65.000000,140,75.458336,0,-10.458336
3-4-5-6-9-10,240,74.583336,240,95.041664,0,-20.458328
3-4-5-6-9-11,239,76.666664,239,96.166664,0,-19.500000
3-4-5-6-9-12,228,74.458336,228,93.583336,0,-19.125000
3-4-5-6-9-13,201,71.000000,201,89.250000,0,-18.250000
3-4-5-6-9-14,209,71.166664,209,90.208336,0,-19.041672
3-4-5-6-9-15,215,71.583336,215,91.000000,0,-19.416664
3-4-5-6-9-16,165,67.833336,161,83.791664,4,-15.958328
3-4-5-6-9-17,263,82.541664,263,99.625000,0,-17.083336
3-4-5-6-9-18,152,64.208336,152,81.250000,0,-17.041664
3-4-5-6-9-19,150,63.875000,150,79.833336,0,-15.958336
3-4-5-6-9-20,150,64.875000,150,77.416664,0,-12.541664
3-4-5-6-9-21,150,62.291668,150,75.000000,0,-12.708332
3-4-5-6-10-11,244,70.791664,240,96.541664,4,-25.750000
3-4-5-6-10-12,240,67.583336,240,93.583336,0,-26.000000
3-4-5-6-10-13,240,68.625000,240,94.250000,0,-25.625000
3-4-5-6-10-14,240,67.333336,240,92.958336,0,-25.625000
3-4-5-6-10-15,242,66.708336,240,92.333336,2,-25.625000
3-4-5-6-10-16,240,64.083336,240,89.458336,0,-25.375000
3-4-5-6-10-17,263,93.625000,263,114.041664,0,-20.416664
3-4-5-6-10-18,240,74.666664,240,95.291664,0,-20.625000
3-4-5-6-10-19,240,75.291664,240,93.833336,0,-18.541672
3-4-5-6-10-20,240,76.250000,240,91.583336,0,-15.333336
3-4-5-6-10-21,240,74.333336,240,89.333336,0,-15.000000
3-4-5-6-11-12,239,70.541664,239,96.083336,0,-25.541672
3-4-5-6-11-13,239,70.875000,239,96.041664,0,-25.166664
3-4-5-6-11-14,239,69.416664,239,95.208336,0,-25.791672
3-4-5-6-11-15,239,69.000000,239,94.791664,0,-25.791664
3-4-5-6-11-16,239,67.125000,239,91.208336,0,-24.083336
