Placement, REP_MAX_MIN, REP_AVG_MIN,EC_MAX_MIN, EC_AVG_MIN, MaxDiff, AvgDiff
3-8-9-16-17-20,258,107.833336,258,123.791664,0,-15.958328
3-8-9-16-17-21,258,106.416664,258,122.375000,0,-15.958336
3-8-9-16-18-19,187,79.708336,187,95.625000,0,-15.916664
3-8-9-16-18-20,198,84.791664,177,99.291664,21,-14.500000
3-8-9-16-18-21,198,83.541664,177,98.041664,21,-14.500000
3-8-9-16-19-20,187,83.458336,177,97.958336,10,-14.500000
3-8-9-16-19-21,187,81.666664,177,96.166664,10,-14.500000
3-8-9-16-20-21,198,81.833336,193,93.333336,5,-11.500000
3-8-9-17-18-19,198,73.333336,198,87.916664,0,-14.583328
3-8-9-17-18-20,198,80.000000,198,96.666664,0,-16.666664
3-8-9-17-18-21,198,78.916664,198,95.750000,0,-16.833336
3-8-9-17-19-20,187,79.916664,187,95.583336,0,-15.666672
3-8-9-17-19-21,187,78.291664,187,94.125000,0,-15.833336
3-8-9-17-20-21,181,78.625000,181,89.916664,0,-11.291664
3-8-9-18-19-20,187,54.708332,187,67.291664,0,-12.583332
3-8-9-18-19-21,187,53.750000,187,65.833336,0,-12.083336
3-8-9-18-20-21,140,56.875000,140,67.791664,0,-10.916664
3-8-9-19-20-21,140,55.416668,140,65.083336,0,-9.666668
3-8-10-11-12-13,262,63.833332,262,68.583336,0,-4.750004
3-8-10-11-12-14,265,61.916668,265,65.041664,0,-3.124996
3-8-10-11-12-15,279,61.541668,279,65.333336,0,-3.791668
3-8-10-11-12-16,262,73.333336,262,93.166664,0,-19.833328
3-8-10-11-12-17,287,111.666664,287,137.500000,0,-25.833336
3-8-10-11-12-18,262,75.708336,262,97.041664,0,-21.333328
3-8-10-11-12-19,262,76.958336,262,100.708336,0,-23.750000
3-8-10-11-12-20,262,83.375000,262,116.500000,0,-33.125000
3-8-10-11-12-21,262,82.166664,262,115.041664,0,-32.875000
3-8-10-11-13-14,265,61.333332,265,66.208336,0,-4.875004
3-8-10-11-13-15,279,62.250000,279,67.250000,0,-5.000000
3-8-10-11-13-16,257,74.916664,257,93.250000,0,-18.333336
3-8-10-11-13-17,287,109.041664,287,134.875000,0,-25.833336
3-8-10-11-13-18,257,73.625000,257,91.375000,0,-17.750000
3-8-10-11-13-19,257,75.000000,257,95.000000,0,-20.000000
3-8-10-11-13-20,257,82.333336,257,111.583336,0,-29.250000
3-8-10-11-13-21,257,80.208336,257,109.708336,0,-29.500000
3-8-10-11-14-15,279,60.250000,279,64.000000,0,-3.750000
3-8-10-11-14-16,265,72.750000,265,91.750000,0,-19.000000
3-8-10-11-14-17,287,108.666664,287,134.500000,0,-25.833336
3-8-10-11-14-18,265,73.125000,265,92.375000,0,-19.250000
3-8-10-11-14-19,265,74.291664,265,95.750000,0,-21.458336
3-8-10-11-14-20,265,81.750000,265,112.833336,0,-31.083336
3-8-10-11-14-21,265,79.708336,265,110.375000,0,-30.666664
3-8-10-11-15-16,279,73.083336,279,92.375000,0,-19.291664
3-8-10-11-15-17,287,109.833336,287,135.666672,0,-25.833336
3-8-10-11-15-18,279,74.000000,279,94.416664,0,-20.416664
3-8-10-11-15-19,279,75.250000,279,98.000000,0,-22.750000
3-8-10-11-15-20,279,81.791664,279,114.208336,0,-32.416672
3-8-10-11-15-21,279,80.458336,279,112.875000,0,-32.416664
3-8-10-11-16-17,287,117.833336,287,144.708328,0,-26.874992
3-8-10-11-16-18,198,86.583336,198,100.666664,0,-14.083328
3-8-10-11-16-19,187,87.750000,187,101.083336,0,-13.333336
3-8-10-11-16-20,235,94.958336,177,109.500000,58,-14.541664
3-8-10-11-16-21,218,93.083336,177,108.125000,41,-15.041664
3-8-10-11-17-18,287,110.375000,287,136.000000,0,-25.625000
3-8-10-11-17-19,287,111.791664,287,137.583328,0,-25.791664
3-8-10-11-17-20,287,117.041664,287,142.416672,0,-25.375008
3-8-10-11-17-21,287,116.000000,287,141.375000,0,-25.375000
3-8-10-11-18-19,198,76.041664,198,93.541664,0,-17.500000
3-8-10-11-18-20,198,82.333336,198,102.708336,0,-20.375000
3-8-10-11-18-21,198,81.750000,198,102.625000,0,-20.875000
3-8-10-11-19-20,187,81.916664,187,100.291664,0,-18.375000
3-8-10-11-19-21,187,80.791664,187,99.666664,0,-18.875000
3-8-10-11-20-21,175,80.750000,175,95.041664,0,-14.291664
3-8-10-12-13-14,262,59.250000,262,63.500000,0,-4.250000
3-8-10-12-13-15,262,59.625000,262,63.000000,0,-3.375000
3-8-10-12-13-16,257,71.416664,257,88.750000,0,-17.333336
3-8-10-12-13-17,262,106.000000,262,130.916672,0,-24.916672
3-8-10-12-13-18,257,71.125000,257,88.958336,0,-17.833336
3-8-10-12-13-19,257,72.541664,257,92.666664,0,-20.125000
3-8-10-12-13-20,257,80.000000,257,109.250000,0,-29.250000
3-8-10-12-13-21,257,78.125000,257,107.625000,0,-29.500000
3-8-10-12-14-15,265,57.916668,265,60.250000,0,-2.333332
3-8-10-12-14-16,262,69.541664,262,87.041664,0,-17.500000
3-8-10-12-14-17,265,105.916664,265,130.958328,0,-25.041664
3-8-10-12-14-18,262,70.916664,262,89.750000,0,-18.833336
3-8-10-12-14-19,262,72.125000,262,93.208336,0,-21.083336
3-8-10-12-14-20,262,79.708336,262,110.416664,0,-30.708328
3-8-10-12-14-21,262,77.916664,262,108.208336,0,-30.291672
3-8-10-12-15-16,262,69.333336,262,86.875000,0,-17.541664
3-8-10-12-15-17,279,106.541664,279,132.166672,0,-25.625008
3-8-10-12-15-18,262,71.250000,262,90.416664,0,-19.166664
3-8-10-12-15-19,262,72.541664,262,94.083336,0,-21.541672
3-8-10-12-15-20,262,79.208336,262,109.500000,0,-30.291664
3-8-10-12-15-21,262,78.125000,262,108.416664,0,-30.291664
3-8-10-12-16-17,262,113.666664,262,139.666672,0,-26.000008
3-8-10-12-16-18,198,82.958336,198,97.583336,0,-14.625000
3-8-10-12-16-19,187,84.166664,187,98.166664,0,-14.000000
3-8-10-12-16-20,235,91.500000,177,106.041664,58,-14.541664
3-8-10-12-16-21,218,89.875000,177,104.916664,41,-15.041664
3-8-10-12-17-18,262,107.208336,262,132.125000,0,-24.916664
3-8-10-12-17-19,262,108.666664,262,133.583328,0,-24.916664
3-8-10-12-17-20,262,114.416664,262,139.750000,0,-25.333336
3-8-10-12-17-21,262,113.708336,262,138.666672,0,-24.958336
3-8-10-12-18-19,198,73.458336,198,90.500000,0,-17.041664
3-8-10-12-18-20,198,79.875000,198,100.250000,0,-20.375000
3-8-10-12-18-21,198,79.541664,198,100.416664,0,-20.875000
3-8-10-12-19-20,187,79.500000,187,97.875000,0,-18.375000
3-8-10-12-19-21,187,78.625000,187,97.500000,0,-18.875000
3-8-10-12-20-21,159,78.708336,159,93.000000,0,-14.291664
3-8-10-13-14-15,265,56.541668,265,59.500000,0,-2.958332
3-8-10-13-14-16,257,69.916664,257,88.208336,0,-18.291672
3-8-10-13-14-17,265,100.958336,265,124.333336,0,-23.375000
3-8-10-13-14-18,257,67.625000,257,84.208336,0,-16.583336
3-8-10-13-14-19,257,68.958336,257,87.791664,0,-18.833328
3-8-10-13-14-20,257,77.916664,257,107.166664,0,-29.250000
3-8-10-13-14-21,257,75.416664,257,104.583336,0,-29.166672
3-8-10-13-15-16,257,70.125000,257,87.916664,0,-17.791664
3-8-10-13-15-17,279,102.875000,279,127.125000,0,-24.250000
3-8-10-13-15-18,257,68.375000,257,85.375000,0,-17.000000
